418,4176
4594,822
5416,2740
8156,3288
11444,1567
13011,3138
16149,2377
18526,1624
20150,1170
21320,1414
22734,840
23574,1992
25566,992
26558,1355
27913,1143
29056,954
30011,1105
31116,1464
32580,1273
33853,1118
34971,719
35690,432
36122,998
37120,15
37135,768
37903,256
38159,1023
39182,194
39376,135
39511,516
40027,422
40449,493
40942,185
41127,220
41347,168
41515,302
41817,194
42011,345
42356,338
42694,185
418,3125
3543,4316
7859,2175
10034,1844
11878,1688
13566,2863
16429,1702
18131,1552
19683,1579
21262,1714
22976,1327
24303,1678
25981,1722
27703,1130
28833,329
29162,924
30086,962
31048,997
32045,1045
33090,968
34058,521
34579,849
35428,1398
36826,821
37647,284
37931,761
38692,579
39271,836
40107,247
40354,475
40829,346
41175,381
41556,308
41864,198
42062,162
42224,408
42632,123
42755,65
42820,81
42901,126
418,4327
4745,3444
8189,391
8580,1596
10176,1601
11777,1992
13769,2897
16666,1773
18439,1217
19656,1928
21584,1147
22731,425
23156,2690
25846,1073
26919,851
27770,1524
29294,1235
30529,1507
32036,939
32975,770
33745,288
34033,1079
35112,1000
36112,916
37028,759
37787,14
37801,783
38584,510
39094,242
39336,312
39648,589
40237,77
40314,529
40843,210
41054,172
41226,310
41536,286
41822,360
42182,110
42292,160
418,4075
4493,1183
5676,3287
8963,1335
10298,1841
12139,4009
16148,1531
17679,1953
19632,1030
20662,1427
22089,2169
24258,1474
25732,1067
26799,1614
28413,1521
29934,692
30626,1240
31866,988
32854,931
33785,623
34408,706
35114,685
35799,329
36128,299
36427,355
36782,831
37613,247
37860,299
38159,353
38512,675
39187,10
39197,379
39576,449
40025,187
40213,208
40421,74
40495,458
40953,662
41615,197
41812,167
418,4388
4806,1212
6018,2485
8504,1697
10201,1562
11763,2040
13803,3053
16856,829
17685,1227
18912,1810
20722,2186
22908,1625
24533,1340
25873,778
26651,520
27171,1583
28754,569
29323,1298
30621,1231
31852,752
32604,1136
33740,1341
35081,1006
36087,903
36990,793
37783,214
37997,10
38007,14
38021,355
38376,644
39020,521
39541,619
40161,177
40338,415
40753,69
40822,363
41185,662
41847,186
42033,605
42638,331
418,4453
4871,878
5749,2953
8702,1194
9896,1391
11287,1888
13175,2834
16009,2645
18654,898
19552,1021
20573,2783
23356,996
24352,1494
25846,1408
27254,1779
29033,206
29239,1086
30325,1258
31583,853
32436,852
33288,1199
34487,1158
35645,955
36600,281
36881,569
37450,701
38151,722
38873,414
39287,252
39539,229
39768,233
40002,257
40259,294
40553,598
41151,694
41845,201
42046,388
42434,317
42751,197
42948,303
419,3917
4336,4088
8424,1577
10001,1197
11198,954
12152,4234
16386,977
17363,1682
19045,1550
20595,2176
22771,1404
24175,1692
25867,585
26452,1431
27883,2138
30021,755
30776,1115
31891,1256
33147,781
33928,1219
35147,1967
37114,825
37939,543
